Gender,Age,Partner,Dependents,Tenure,Contract Type,Payment Method,Internet Service,Phone Service,Multiple Lines,TV,Streaming,Monthly Charges,Total Charges,Churn
Male,30,Yes,No,16,Month-to-month,Mailed check,Fiber optic,Yes,Yes,Yes,Yes,93.08,1502.58,No
Female,20,No,No,25,Two year,Electronic check,DSL,No,No,Yes,No,61.83,1553.58,No
Female,56,No,Yes,61,Month-to-month,Electronic check,Fiber optic,No,No,No,Yes,64.2,3924.9,No
Male,60,Yes,Yes,7,One year,Bank transfer,No,Yes,No,Yes,Yes,48.12,344.3,No
Male,65,Yes,Yes,7,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,Yes,84.88,572.89,No
Female,76,Yes,Yes,21,One year,Bank transfer,No,Yes,No,No,Yes,25.25,518.86,No
Male,48,No,No,43,One year,Mailed check,Fiber optic,No,No,No,Yes,74.06,3204.68,No
Female,69,No,No,58,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,No,72.42,4213.22,No
Male,62,No,Yes,40,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,92.3,3697.79,No
Male,35,Yes,Yes,35,Month-to-month,Bank transfer,DSL,Yes,No,No,Yes,57.73,2007.48,Yes
Female,70,Yes,No,62,Two year,Mailed check,No,Yes,No,Yes,Yes,41.78,2610.39,No
Female,21,Yes,No,12,Month-to-month,Credit card,Fiber optic,No,No,No,No,62.82,734.55,Yes
Female,55,Yes,Yes,64,One year,Mailed check,No,Yes,No,No,Yes,26.86,1748.52,No
Female,76,No,Yes,22,Month-to-month,Bank transfer,Fiber optic,No,No,No,Yes,75.71,1651.09,No
Female,58,Yes,No,19,One year,Mailed check,Fiber optic,Yes,No,No,Yes,74.38,1395.7,No
Female,76,Yes,Yes,68,Month-to-month,Electronic check,DSL,Yes,No,Yes,No,60.01,4081.42,No
Female,21,Yes,No,46,One year,Bank transfer,Fiber optic,No,No,Yes,Yes,87.43,4026.0,No
Male,51,Yes,No,31,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,79.2,2457.17,No
Female,66,No,Yes,23,Month-to-month,Electronic check,No,Yes,No,Yes,No,36.5,813.05,Yes
Male,57,Yes,No,31,Two year,Electronic check,No,No,No,Yes,No,27.85,871.69,No
Female,72,No,Yes,56,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,Yes,78.18,4397.48,No
Male,46,No,Yes,11,Month-to-month,Credit card,Fiber optic,No,No,No,No,57.19,627.45,No
Male,60,No,Yes,12,One year,Bank transfer,DSL,No,No,No,No,44.8,506.71,No
Female,44,No,No,21,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,69.18,1448.53,Yes
Female,72,No,Yes,34,Two year,Bank transfer,No,Yes,Yes,No,Yes,30.65,1019.31,Yes
Female,25,No,Yes,58,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,No,62.82,3605.19,Yes
Male,33,Yes,No,15,Two year,Bank transfer,Fiber optic,Yes,No,Yes,Yes,76.65,1138.77,No
Female,23,Yes,Yes,56,Two year,Mailed check,No,Yes,Yes,No,No,36.93,2100.35,No
Female,61,No,No,65,Month-to-month,Electronic check,DSL,Yes,No,No,No,50.19,3260.64,No
Male,32,Yes,No,31,Month-to-month,Electronic check,No,Yes,No,No,No,17.82,546.93,Yes
Male,37,Yes,No,69,One year,Bank transfer,Fiber optic,Yes,Yes,No,No,69.99,4843.47,No
Male,69,No,No,64,One year,Bank transfer,DSL,Yes,Yes,No,Yes,60.05,3855.47,No
Male,40,Yes,No,57,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,Yes,82.24,4658.6,No
Female,27,Yes,Yes,27,Month-to-month,Electronic check,DSL,Yes,No,Yes,No,56.83,1571.9,No
Female,19,No,No,21,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,Yes,95.11,2001.18,No
Male,32,Yes,No,62,One year,Mailed check,Fiber optic,Yes,No,Yes,No,88.34,5495.32,No
Female,74,No,No,31,One year,Bank transfer,DSL,No,No,No,No,46.91,1442.46,No
Female,52,Yes,No,2,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,No,79.17,119.23,Yes
Male,79,No,No,51,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,No,74.91,3818.22,No
Female,31,No,No,25,One year,Credit card,DSL,No,No,Yes,Yes,53.36,1311.84,No
Male,39,Yes,Yes,67,Two year,Electronic check,No,Yes,No,No,Yes,37.0,2502.25,No
Female,28,Yes,No,61,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,No,70.86,4294.04,No
Female,42,Yes,No,7,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,Yes,73.96,518.29,Yes
Male,52,Yes,No,64,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,No,75.08,4817.02,No
Male,68,Yes,Yes,68,One year,Electronic check,DSL,Yes,No,No,Yes,59.87,4079.48,No
Female,40,No,No,54,Month-to-month,Bank transfer,No,Yes,No,Yes,No,24.67,1322.38,No
Male,65,Yes,No,19,Month-to-month,Electronic check,Fiber optic,Yes,No,No,Yes,72.53,1342.51,No
Female,56,No,No,48,One year,Electronic check,DSL,No,No,No,No,42.67,2018.05,No
Female,36,Yes,No,62,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,Yes,84.88,5247.17,No
Female,74,No,No,58,Month-to-month,Mailed check,Fiber optic,No,No,No,Yes,80.57,4644.96,No
Female,44,Yes,Yes,31,Month-to-month,Bank transfer,DSL,Yes,Yes,Yes,Yes,69.89,2165.19,No
Male,27,Yes,Yes,50,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,Yes,64.2,3194.7,No
Male,77,No,No,27,Month-to-month,Mailed check,Fiber optic,Yes,No,No,No,64.42,1713.38,No
Male,74,Yes,No,18,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,Yes,94.48,1672.15,Yes
Male,21,No,No,48,Month-to-month,Electronic check,Fiber optic,Yes,No,No,Yes,77.79,3701.94,No
Male,73,Yes,Yes,33,Month-to-month,Electronic check,Fiber optic,No,No,No,Yes,58.97,1944.82,No
Female,76,Yes,Yes,16,Two year,Bank transfer,DSL,Yes,Yes,Yes,Yes,79.86,1263.14,Yes
Male,69,Yes,No,47,Two year,Credit card,Fiber optic,Yes,No,Yes,Yes,78.32,3681.55,No
Female,33,No,No,23,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,75.87,1743.4,Yes
Female,57,Yes,No,42,One year,Credit card,Fiber optic,Yes,Yes,No,No,67.27,2821.21,No
Female,51,Yes,No,26,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,Yes,91.01,2379.23,No
Female,56,Yes,No,63,Two year,Mailed check,Fiber optic,Yes,No,Yes,No,70.92,4438.21,No
Male,56,Yes,No,61,Two year,Mailed check,Fiber optic,No,No,No,No,62.07,3799.54,No
Female,57,Yes,Yes,34,One year,Electronic check,Fiber optic,Yes,No,No,No,75.24,2566.18,No
Male,49,No,No,51,One year,Bank transfer,Fiber optic,No,No,Yes,No,70.23,3578.0,No
Male,60,Yes,No,12,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,72.43,853.02,Yes
Female,50,No,No,71,Month-to-month,Mailed check,Fiber optic,Yes,No,No,Yes,81.15,5762.69,No
Male,19,Yes,No,15,Month-to-month,Electronic check,DSL,Yes,No,No,No,50.89,772.26,No
Male,20,Yes,Yes,62,Month-to-month,Credit card,Fiber optic,Yes,Yes,Yes,No,75.44,4649.56,No
Male,77,Yes,Yes,60,One year,Electronic check,DSL,Yes,Yes,No,Yes,56.06,3376.09,No
Female,74,Yes,No,12,Month-to-month,Mailed check,No,Yes,Yes,Yes,Yes,41.08,527.77,No
Male,54,Yes,No,0,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,Yes,82.94,0.0,Yes
Male,28,Yes,Yes,53,One year,Electronic check,Fiber optic,No,No,No,Yes,76.06,4057.16,No
Male,66,Yes,No,62,One year,Electronic check,Fiber optic,No,No,No,Yes,73.03,4537.08,No
Female,26,No,Yes,51,One year,Bank transfer,Fiber optic,Yes,Yes,No,No,76.51,3907.32,No
Male,41,Yes,No,4,Month-to-month,Bank transfer,No,Yes,No,No,No,17.04,54.15,No
Male,38,Yes,No,46,Two year,Mailed check,Fiber optic,Yes,No,Yes,No,79.49,3649.65,No
Male,18,Yes,Yes,28,Month-to-month,Credit card,Fiber optic,Yes,No,No,No,69.68,1931.3,Yes
Female,68,Yes,No,65,One year,Electronic check,Fiber optic,Yes,No,No,Yes,79.48,5184.81,No
Female,49,No,No,57,Month-to-month,Credit card,Fiber optic,Yes,Yes,Yes,Yes,91.76,5215.51,Yes
Female,37,Yes,No,57,Month-to-month,Electronic check,No,Yes,Yes,Yes,Yes,37.74,2186.68,No
Male,49,No,Yes,29,Two year,Credit card,Fiber optic,Yes,Yes,No,No,72.45,2109.82,No
Male,18,Yes,Yes,23,Month-to-month,Credit card,Fiber optic,No,No,Yes,No,79.67,1840.35,Yes
Female,45,Yes,No,59,Month-to-month,Credit card,DSL,Yes,Yes,Yes,No,62.52,3662.2,No
Female,50,No,No,8,Month-to-month,Electronic check,No,Yes,Yes,No,Yes,34.5,289.3,Yes
Female,39,Yes,No,7,Two year,Mailed check,Fiber optic,Yes,No,No,No,63.91,442.97,No
Male,69,No,No,4,Two year,Credit card,DSL,Yes,Yes,Yes,Yes,70.71,271.57,No
Male,33,Yes,No,36,Month-to-month,Mailed check,Fiber optic,Yes,No,No,Yes,70.05,2508.63,No
Female,26,No,Yes,5,One year,Electronic check,Fiber optic,Yes,No,Yes,No,77.11,360.72,Yes
Female,50,Yes,No,41,Month-to-month,Mailed check,DSL,Yes,Yes,Yes,No,58.54,2400.5,Yes
Male,73,Yes,No,12,One year,Electronic check,Fiber optic,Yes,No,Yes,No,79.97,956.27,No
Female,41,No,Yes,64,Month-to-month,Mailed check,Fiber optic,Yes,Yes,Yes,No,78.01,4966.15,No
Female,20,Yes,Yes,31,Month-to-month,Electronic check,DSL,Yes,Yes,Yes,No,59.36,1850.38,Yes
Male,78,Yes,No,6,One year,Bank transfer,No,Yes,No,Yes,No,28.45,213.25,No
Female,45,No,No,49,Two year,Electronic check,No,No,No,No,No,18.76,890.65,No
Male,28,No,No,24,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,No,79.07,1895.5,Yes
Male,56,No,Yes,18,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,No,76.26,1405.9,No
Female,37,No,No,47,Two year,Credit card,No,Yes,No,Yes,No,31.43,1461.78,No
Female,76,No,Yes,68,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,No,73.82,5028.73,No
Male,36,No,Yes,70,Month-to-month,Bank transfer,No,No,No,Yes,Yes,40.01,2808.23,No
Female,52,No,No,31,Month-to-month,Bank transfer,DSL,Yes,Yes,No,No,56.72,1771.58,Yes
Male,51,Yes,No,61,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,Yes,73.53,4522.05,No
Female,33,Yes,No,15,Month-to-month,Mailed check,Fiber optic,Yes,Yes,Yes,No,84.84,1236.76,Yes
Male,48,No,No,60,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,Yes,No,87.84,5274.17,No
Female,24,No,No,67,Month-to-month,Electronic check,Fiber optic,No,No,No,Yes,75.53,5050.39,Yes
Female,57,Yes,Yes,37,Month-to-month,Mailed check,DSL,Yes,Yes,No,No,40.93,1513.71,Yes
Female,65,Yes,Yes,37,Two year,Electronic check,DSL,Yes,Yes,No,No,54.32,2010.88,No
Female,76,Yes,No,40,Month-to-month,Credit card,Fiber optic,No,No,Yes,Yes,86.92,3470.81,No
Male,38,Yes,No,5,One year,Mailed check,DSL,Yes,Yes,Yes,No,58.76,272.04,No
Female,35,No,No,61,Month-to-month,Electronic check,DSL,Yes,Yes,Yes,Yes,82.5,5012.16,Yes
Male,52,Yes,No,53,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,Yes,No,70.1,3757.74,No
Female,60,No,Yes,62,Month-to-month,Electronic check,DSL,Yes,Yes,No,No,53.73,3303.67,No
Female,79,No,Yes,8,Month-to-month,Mailed check,DSL,Yes,Yes,Yes,Yes,71.62,597.47,Yes
Male,19,No,No,57,One year,Credit card,DSL,Yes,Yes,Yes,Yes,68.86,3904.34,No
Female,32,Yes,Yes,26,Month-to-month,Bank transfer,No,Yes,No,Yes,Yes,40.77,1061.93,No
Female,34,No,No,58,One year,Bank transfer,DSL,Yes,Yes,No,No,47.8,2811.73,No
Male,33,No,No,71,Two year,Mailed check,Fiber optic,Yes,Yes,No,Yes,77.12,5491.66,No
Male,46,No,No,63,Month-to-month,Mailed check,DSL,Yes,No,Yes,No,60.87,3805.94,No
Male,72,Yes,No,65,Two year,Electronic check,DSL,Yes,No,Yes,Yes,54.43,3531.29,No
Male,19,Yes,Yes,8,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,Yes,No,85.53,683.7,No
Male,68,No,Yes,23,Month-to-month,Mailed check,Fiber optic,Yes,No,Yes,No,77.43,1801.5,Yes
Female,56,Yes,Yes,21,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,72.76,1528.93,Yes
Female,56,Yes,Yes,36,Two year,Electronic check,Fiber optic,Yes,No,No,No,74.23,2669.17,Yes
Male,60,No,Yes,70,One year,Electronic check,Fiber optic,Yes,Yes,No,No,91.65,6449.99,No
Female,25,No,Yes,49,Two year,Electronic check,DSL,No,No,No,Yes,58.99,2922.29,No
Female,64,Yes,Yes,39,One year,Electronic check,No,Yes,Yes,No,Yes,28.99,1144.63,No
Male,33,Yes,Yes,57,Month-to-month,Mailed check,DSL,No,No,No,Yes,62.81,3567.57,No
Female,50,Yes,No,12,Two year,Mailed check,Fiber optic,Yes,No,Yes,Yes,71.43,804.17,No
Female,59,No,Yes,47,Two year,Mailed check,Fiber optic,Yes,No,No,Yes,74.78,3489.14,No
Female,55,No,No,36,One year,Electronic check,Fiber optic,No,No,No,No,65.87,2340.37,No
